highway,km,buraco,remendo,trinca,placa,drenagem
262,0.0,1111,198,593,44,462
262,1.0,561,165,549,0,407
262,2.0,308,132,539,11,385
262,3.0,395,220,539,33,396
262,4.0,66,220,528,33,373
262,5.0,440,88,550,66,363
262,6.0,813,187,539,55,286
262,7.0,561,143,527,11,352
262,8.0,1001,363,517,22,384
262,9.0,792,198,549,33,385
262,10.0,194,243,344,57,238
262,11.0,558,60,300,0,186
262,12.0,270,198,294,24,216
262,13.0,450,210,294,30,210
262,14.0,600,143,294,36,180
262,15.0,900,210,566,139,376
262,16.0,1064,154,699,98,336
262,17.0,644,182,685,28,308
262,18.0,602,434,686,139,280
262,19.0,686,447,671,182,350
262,20.0,1371,672,686,28,364
262,21.0,1022,419,686,168,504
262,22.0,462,98,686,112,391
262,23.0,587,280,672,28,224
262,24.0,602,224,672,0,518
262,25.0,784,406,672,0,419
262,26.0,476,1105,685,42,476
262,27.0,238,854,700,167,350
262,28.0,56,840,672,210,321
262,29.0,78,222,300,36,174
262,30.0,18,102,288,36,89
262,31.0,78,666,282,48,30
262,32.0,30,71,294,36,186
262,33.0,114,426,294,84,108
262,34.0,856,2774,812,312,505
